,milage,action,milage_bin,next_milage_bin
1038,68,0,3,3
1039,75,0,3,3
1040,81,0,3,4
1041,93,0,4,4
1042,100,0,4,5
1043,117,0,5,5
1044,125,0,5,5
1045,131,0,5,0
1047,17,0,0,1
1048,28,0,1,1
1049,36,0,1,2
1050,46,0,2,2
1051,56,0,2,2
1052,62,0,2,3
1053,75,0,3,3
1054,80,0,3,0
1056,14,0,0,1
1057,29,0,1,1
1058,33,0,1,2
1059,48,0,2,2
1060,57,0,2,3
1061,77,0,3,3
1062,86,0,3,4
1063,99,0,4,0
1065,8,0,0,0
1066,20,0,0,1
1067,29,0,1,0
1069,5,0,0,0
1070,15,0,0,0
1071,21,0,0,1
1072,24,0,1,1
1073,31,0,1,1
1074,43,0,1,1
1075,44,0,1,2
1076,52,0,2,3
1077,69,0,3,3
1078,79,0,3,3
1079,87,0,3,4
1080,90,0,4,4
1081,108,0,4,5
1082,116,0,5,5
1083,127,0,5,0
1085,15,0,0,0
1086,20,0,0,1
1087,32,0,1,1
1088,42,0,1,2
1089,57,0,2,3
1090,70,0,3,3
1091,78,0,3,3
1092,87,0,3,4
1093,95,0,4,4
1094,104,0,4,4
1095,108,0,4,5
1096,117,0,5,5
1097,130,0,5,6
1098,138,0,6,6
1099,143,0,6,6
1100,153,0,6,7
1101,164,0,7,0
1103,11,0,0,0
1104,21,0,0,1
1105,31,0,1,1
1106,42,0,1,2
1107,50,0,2,2
1108,55,0,2,3
1109,69,0,3,3
1110,73,0,3,4
1111,91,0,4,4
1112,103,0,4,5
1113,111,0,5,5
1114,115,0,5,5
1115,117,0,5,5
1116,124,0,5,5
1117,130,0,5,6
1118,143,0,6,0
1120,5,0,0,0
1121,14,0,0,1
1122,26,0,1,1
1123,40,0,1,2
1124,58,0,2,2
1125,63,0,2,0
1127,5,0,0,0
1128,11,0,0,0
1129,16,0,0,0
1130,20,0,0,1
1131,32,0,1,2
1132,48,0,2,3
1133,75,0,3,3
1134,78,0,3,3
1135,83,0,3,4
1136,91,0,4,4
1137,98,0,4,4
1138,109,0,4,5
1139,118,0,5,0
1141,10,0,0,0
1142,15,0,0,1
1143,27,0,1,1
1144,38,0,1,2
1145,47,0,2,2
1146,59,0,2,2
1147,63,0,2,3
1148,70,0,3,3
1149,79,0,3,4
1150,94,0,4,4
1151,104,0,4,0
1153,9,0,0,0
1154,18,0,0,0
1155,21,0,0,1
1156,28,0,1,1
1157,32,0,1,1
1158,39,0,1,2
1159,47,0,2,2
1160,52,0,2,3
1161,67,0,3,3
1162,75,0,3,3
1163,80,0,3,4
1164,89,0,4,4
1165,100,0,4,4
1166,110,0,4,5
1167,120,0,5,6
1168,133,0,6,6
1169,147,0,6,7
1170,165,0,7,0
1172,17,0,0,1
1173,26,0,1,1
1174,41,0,1,1
1175,43,0,1,2
1176,56,0,2,3
1177,69,0,3,3
1178,77,0,3,4
1179,95,0,4,4
1180,103,0,4,5
1181,113,0,5,5
1182,117,0,5,5
1183,126,0,5,6
1184,136,0,6,6
1185,150,0,6,7
1186,155,0,7,0
1188,1,0,0,0
1189,9,0,0,0
1190,22,0,0,1
1191,32,0,1,1
1192,42,0,1,2
1193,54,0,2,2
1194,61,0,2,3
1195,76,0,3,3
1196,82,0,3,4
1197,92,0,4,4
1198,94,0,4,4
1199,101,0,4,5
1200,112,0,5,5
1201,123,0,5,5
1202,132,0,5,6
1203,139,0,6,6
1204,147,0,6,0
1206,10,0,0,1
1207,23,0,1,1
1208,28,0,1,1
1209,37,0,1,1
1210,39,0,1,2
1211,51,0,2,2
1212,59,0,2,2
1213,63,0,2,3
1214,70,0,3,3
1215,77,0,3,3
1216,87,0,3,0
1218,4,0,0,0
1219,13,0,0,1
1220,26,0,1,1
1221,36,0,1,1
1222,40,0,1,2
1223,55,0,2,0
1225,5,0,0,0
1226,10,0,0,0
1227,19,0,0,0
1228,22,0,0,1
1229,33,0,1,2
1230,49,0,2,2
1231,56,0,2,3
1232,68,0,3,3
1233,78,0,3,4
1234,90,0,4,4
1235,100,0,4,4
1236,108,0,4,5
1237,120,0,5,6
1238,134,0,6,6
1239,138,0,6,0
1241,11,0,0,1
1242,23,0,1,2
1243,49,0,2,2
1244,56,0,2,3
1245,68,0,3,3
1246,84,0,3,4
1247,98,0,4,4
1248,108,0,4,0
1250,17,0,0,0
1251,22,0,0,1
1252,26,0,1,2
1253,45,0,2,2
1254,56,0,2,2
1255,64,0,2,3
1256,74,0,3,4
1257,89,0,4,4
1258,94,0,4,0
1260,4,0,0,0
1261,7,0,0,0
1262,19,0,0,1
1263,29,0,1,2
1264,47,0,2,2
1265,60,0,2,3
1266,82,0,3,4
1267,90,0,4,4
1268,96,0,4,5
1269,116,0,5,5
1270,123,0,5,6
1271,139,0,6,6
1272,154,0,6,0
1274,10,0,0,0
1275,18,0,0,1
1276,41,0,1,2
1277,45,0,2,2
1278,50,0,2,2
1279,61,0,2,3
1280,79,0,3,0
